FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2394.685      70.748      9.064      9.021     18.537      2.461    110.524      9.129     10.281     13.682    -28.734
2394.810      70.776      9.180      9.131     18.541      2.461    103.759      9.069     10.214     13.614    -28.721
2394.935      70.831      9.260      9.192     19.023      2.472     98.567      9.033     10.179     13.877    -28.705
2395.060      70.925      9.313      9.222     19.601      2.483     95.473      9.042     10.208     13.650    -28.664
2395.185      71.012      9.327      9.297     20.012      2.482     94.195      9.063     10.244     13.697    -28.630
2395.310      71.160      9.328      9.324     20.409      2.479     94.209      9.046     10.235     13.911    -28.586
2395.435      71.242      9.329      9.337     20.668      2.477     93.173      8.994     10.191     14.139    -28.542
2395.560      71.267      9.326      9.340     20.665      2.474     95.527      8.929     10.136     14.169    -28.502
2395.685      71.278      9.307      9.317     20.359      2.471    102.978      8.873     10.090     13.868    -28.471
2395.810      71.254      9.261      9.255     19.883      2.472    104.996      8.824     10.045     13.317    -28.465
2395.935      71.185      9.206      9.201     19.637      2.478    112.058      8.811     10.023     13.181    -28.474
2396.060      71.015      9.117      9.135     19.593      2.476    105.077      8.830     10.041     13.571    -28.510
2396.185      70.844      9.026      9.030     19.583      2.473    103.301      8.895     10.115     14.028    -28.574
2396.310      70.743      8.973      8.949     19.392      2.471    102.817      8.996     10.233     14.374    -28.649
2396.435      70.751      8.973      8.945     18.895      2.472     98.889      9.105     10.364     14.615    -28.725
2396.560      70.862      8.987      8.960     18.188      2.472    108.305      9.177     10.455     14.846    -28.808
2396.685      70.984      8.991      8.975     17.704      2.474    104.606      9.182     10.468     15.015    -28.893
2396.810      71.044      8.987      8.980     17.593      2.478    107.094      9.142     10.426     14.452    -28.971
2396.935      71.131      8.999      8.979     17.840      2.479    103.664      9.065     10.335     13.799    -29.039
2397.060      71.218      9.018      8.978     18.383      2.473     98.862      8.974     10.229     13.363    -29.104
2397.185      71.266      9.048      9.000     19.072      2.460     99.925      8.895     10.146     13.149    -29.168
2397.310      71.325      9.149      9.093     19.636      2.448    102.817      8.842     10.104     12.877    -29.210
2397.435      71.335      9.253      9.156     19.890      2.450    107.188      8.852     10.137     12.789    -29.247
2397.560      71.315      9.289      9.186     20.024      2.464    105.911      8.873     10.180     12.744    -29.275
2397.685      71.294      9.319      9.199     20.206      2.482    100.598      8.907     10.231     12.642    -29.284
2397.810      71.267      9.343      9.237     20.488      2.496     95.069      8.965     10.305     12.612    -29.276
2397.935      71.212      9.345      9.304     20.749      2.500     92.030      9.054     10.413     12.800    -29.262
2398.060      71.108      9.345      9.319     20.619      2.494     89.743      9.170     10.554     13.167    -29.258
2398.185      71.011      9.346      9.321     20.153      2.486     92.568      9.295     10.701     13.474    -29.244
2398.310      70.961      9.365      9.322     19.848      2.482     91.142      9.424     10.858     13.625    -29.219
2398.435      71.017      9.388      9.321     19.885      2.482     92.487      9.534     10.985     13.880    -29.204
2398.560      71.133      9.405      9.318     20.267      2.484     93.966      9.608     11.063     14.296    -29.201
2398.685      71.222      9.417      9.321     20.825      2.486     92.245      9.635     11.090     14.716    -29.204
2398.810      71.204      9.458      9.348     21.226      2.486     92.245      9.615     11.062     14.770    -29.213
2398.935      71.225      9.480      9.492     21.458      2.487     90.900      9.553     10.988     14.355    -29.252
2399.060      71.204      9.482      9.559     21.731      2.490     90.093      9.473     10.887     14.109    -29.324
2399.185      71.244      9.477      9.578     21.763      2.489     91.236      9.357     10.740     14.048    -29.412
2399.310      71.265      9.446      9.504     21.480      2.481     92.541      9.217     10.566     14.038    -29.509
2399.435      71.193      9.390      9.351     21.007      2.469     92.460      9.070     10.389     13.970    -29.615
2399.560      71.137      9.384      9.330     20.654      2.465     93.132      8.919     10.205     13.932    -29.725
2399.685      71.134      9.387      9.363     21.093      2.468     90.779      8.822     10.090     14.206    -29.802
2399.810      71.111      9.388      9.437     21.931      2.460     88.210      8.792     10.057     14.586    -29.851
2399.935      70.829      9.392      9.483     22.546      2.441     84.901      8.808     10.079     14.940    -29.885
2400.060      70.336      9.379      9.496     22.547      2.415     81.834      8.890     10.174     15.123    -29.905
2400.185      69.784      9.280      9.481     21.826      2.395     80.314      9.046     10.349     14.978    -29.901
2400.310      69.246      8.953      9.413     20.624      2.395     80.785      9.230     10.545     14.338    -29.861
2400.435      69.197      8.805      9.043     19.530      2.425     82.197      9.419     10.740     14.841    -29.819
2400.560      69.468      8.758      8.963     18.693      2.455     83.717      9.548     10.867     16.739    -29.758
2400.685      69.994      8.744      9.075     18.072      2.468     83.650      9.634     10.947     16.591    -29.668
2400.810      70.590      8.744      9.183     17.639      2.460     83.260      9.662     10.966     15.069    -29.550
2400.935      71.009      8.755      9.148     17.427      2.437     84.551      9.627     10.912     14.165    -29.417
2401.060      70.992      8.761      9.046     17.583      2.411     88.048      9.559     10.834     14.392    -29.290
2401.185      70.318      8.835      9.151     18.126      2.405     85.694      9.477     10.732     14.054    -29.129
2401.310      69.508      8.897      9.174     18.579      2.427     83.825      9.439     10.712     14.150    -28.971
2401.435      68.785      8.894      9.003     18.872      2.465     86.192      9.383     10.664     14.416    -28.821
2401.560      68.400      8.853      8.739     19.157      2.501     91.411      9.239     10.494     14.250    -28.678
2401.685      68.490      8.826      8.589     19.668      2.521     96.764      8.988     10.187     13.203    -28.541
2401.810      68.942      8.842      8.759     20.574      2.521    102.010      8.716      9.852     11.473    -28.399
